song_name,lyrics
Jordyn Shellhart - When Something's Gotta Give (Official Music Video),one two three  you didn't change your plans you can change your mind you can rest assured I'll be changed children I'll be changed your mind  you can pull away I can't feel that space   When Something's Gotta Give it's always me  when you turn around I am always there I'll reach out for you all I care  I can't reaches  Hallelujah When Something's Gonna Give me  foreign  [Applause]    please  
Jordyn Shellhart - Who Are You Mad At (Official Music Video),foreign  you walk in the door and try to kiss me but tonight that isn't gonna fix me I know it's written all over my face  songs  I know you're about to go do the thing racing I should be comparing myself to anyone but apparently you haven't listened incredible versions of both sides now everything is  thank you
Josh Turner - Your Man (Official Music Video),"  BABY, LOCK THE DOOR ANDTURN THE LIGHTS DOWN LOW   AND PUT SOME MUSIC ONTHAT'S SOFT AND SLOW   BABY, WE AIN'TGOT NO PLACE TO GO   I HOPE YOU UNDERSTAND   I'VE BEEN THINKING'BOUT THIS ALL DAY LONG   NEVER FELT A FEELINGQUITE THIS STRONG   I CAN'T BELIEVE HOWMUCH IT TURNS ME ON   JUST TO BE YOUR MAN   THERE'S NO HURRY   DON'T YOU WORRY   WE CAN TAKE OUR TIME   COME A LITTLE CLOSER   LET'S GO OVER   WHAT I HAD IN MIND   BABY, LOCK THE DOOR ANDTURN THE LIGHTS DOWN LOW   AND PUT SOME MUSIC ONTHAT'S SOFT AND SLOW   BABY, WE AIN'TGOT NO PLACE TO GO   I HOPE YOU UNDERSTAND   I'VE BEEN THINKING'BOUT THIS ALL DAY LONG   NEVER FELT A FEELINGQUITE THIS STRONG   I CAN'T BELIEVE HOWMUCH IT TURNS ME ON   JUST TO BE YOUR MAN   AIN'T NOBODY   EVER LOVE NOBODY   THE WAY THAT I LOVE YOU   WE'RE ALONE NOW   YOU DON'T KNOW HOWLONG I'VE WANTED TO   LOCK THE DOOR AND TURNTHE LIGHTS DOWN LOW   AND PUT SOME MUSIC ONTHAT'S SOFT AND SLOW   BABY, WE AIN'TGOT NO PLACE TO GO   I HOPE YOU UNDERSTAND   I'VE BEEN THINKING'BOUT THIS ALL DAY LONG   NEVER FELT A FEELING THATWAS QUITE THIS STRONG   I CAN'T BELIEVE HOWMUCH IT TURNS ME ON   JUST TO BE YOUR MAN   I CAN'T BELIEVE HOWMUCH IT TURNS ME ON   JUST TO BE YOUR MAN  "
Juice Newton - Angel Of The Morning (Official Music Video),  THERE'LL BE NO STRINGSTO BIND YOUR HANDS   NOT IF MY LOVE CAN'TFIND YOUR HEART   THERE'S NO NEEDTO TAKE A STAND   FOR IT WAS I WHOCHOSE TO START   I SEE NO NEEDTO TAKE ME HOME   I'M OLD ENOUGHTO FACE THE DAWN   JUST CALL ME ANGELOF THE MORNING ANGEL   JUST TOUCH MY CHEEKBEFORE YOU LEAVE ME BABY   JUST CALL ME ANGELOF THE MORNING ANGEL   THEN SLOWLY TURNAWAY FROM ME   MAYBE THE SUN'SLIGHT WILL BE DIM   AND IT WON'T MATTER ANYHOW   IF MORNING'S ECHOSAYS WE'VE SINNED   WELL IT WAS WHATI WANTED NOW   AND IF WE'REVICTIMS OF THE NIGHT   I WON'T BE BLINDEDBY THE LIGHT   JUST CALL ME ANGELOF THE MORNING ANGEL   JUST TOUCH MY CHEEKBEFORE YOU LEAVE ME BABY   JUST CALL ME ANGELOF THE MORNING ANGEL   THEN SLOWLY TURN AWAY IWON'T BEG YOU STAY WITH ME   THROUGH THE TEARS OF THE DAY   OF THE YEARS BABY   JUST CALL ME ANGELOF THE MORNING ANGEL   JUST TOUCH MY CHEEKBEFORE YOU LEAVE ME BABY   JUST CALL ME ANGELOF THE MORNING ANGEL   JUST TOUCH MY CHEEK BEFOREYOU LEAVE ME DARLING   JUST CALL ME ANGELOF THE MORNING ANGEL   JUST TOUCH MY CHEEK BEFOREYOU LEAVE ME DARLING 
Kane Brown - Good as You (Official Music Video),"(birds chirping) (door opening and closing) (light guitar strumming) - Hey honey. Good morning. What's the matter? - How are you Mom? - Good. - No, these bills keep adding. I'm not sure on how we're gonna do it. - Don't worry about it. Really, it's gonna be fine.  See, the way you'retakin' care of your mama   The way you're takin' care of me   The way you light up any room, girl   You're what this world should be   Tomorrow, tonight, the rest of my life   I wanna be the man you want me to be   So startin' right now, girl,tell me everything you need   I just wanna wake upeveryday here in this bed   And never leave 'Ilove you' left unsaid   It might take ahundred lifetimes to do   But baby, I just wanna be good as you   Girl, you're more than just a surface   Yeah, you got that heart of gold   So when it comes to lovin' you, baby   No, it'll never get old   Tomorrow, tonight, the rest of my life   I wanna be the man you want me to be   So startin' right now, girl,tell me everything you need   I just wanna wake upevery day here in this bed   Never leave 'I love you' left unsaid   It might take ahundred lifetimes to do  (police siren)  But baby, I just wanna be good as you   Good as you, baby  (instrumental music)  Ooh ooh ooh ooh   Ooh ooh ooh ooh ooh ooh   I just wanna wake upevery day here in this bed   Never leave 'I love you' left unsaid   It might take ahundred lifetimes to do   But baby, I just wanna be good as you   I just wanna wake upeveryday here in this bed   Never leave 'I love you' left unsaid   It might take ahundred lifetimes to do   But baby, I just wanna be good as you   Baby, I just wanna be good as you "
Kane Brown - Heaven," This is perfect, comekiss me one more time I couldn't dream thisup even if I tried You and me in this momentfeels like magic, don't it I'm right where I wanna be Everybody's talkin' 'bout heavenlike they just can't wait to go Sayin' how it's gonna be sogood, so beautiful But lyin' next to you inthis bed with you I ain't convinced 'causeI don't know how I don't know how heaven,heaven could be better than this I swear you're an angelsent to this world What did I do right todeserve you girl I could stay here forever I'd be fine if we never had toeven leave this room Everybody's talkin' 'bout heavenlike they just can't wait to go Sayin' how it's gonna be sogood, so beautiful But lyin' next to you inthis bed with you I ain't convinced 'causeI don't know how I don't know how heaven,heaven could be better than this Could be better than this Everybody's talkin' 'bout heavenlike they just can't wait to go Sayin' how it's gonna be sogood, so beautiful But lyin' next to you inthis bed with you I ain't convinced 'causeI don't know how I don't know how heaven,heaven could be better than this Could be better than this I swear this is perfect, comekiss me one more time"
Kane Brown - What Ifs ft. Lauren Alaina," YOU SAY WHAT IF I HURT YOU,WHAT IF I LEAVE YOU   WHAT IF I FIND SOMEBODY ELSEAND I DON'T NEED YOU   WHAT IF THIS GOES SOUTH, WHATIF I MESS YOU UP   YOU SAY WHAT IF I BREAK YOURHEART IN TWO THEN WHAT   WELL I HEAR YOU GIRL, I FEELYOU GIRL BUT NOT SO FAST   BEFORE YOU MAKE YOUR MIND UP IGOTTA ASK   WHAT IF I WAS MADE FOR YOU ANDYOU WERE MADE FOR ME   WHAT IF THIS IS IT, WHAT IFIT'S MEANT TO BE   WHAT IF I AIN'T ONE OF THEMFOOLS JUST PLAYIN' SOME GAME   WHAT IF I JUST PULLED YOUCLOSE, WHAT IF I LEANED IN   AND THE STARS LINE UP AND IT'SOUR LAST FIRST KISS   WHAT IF ONE OF THESE DAYS BABYI'D GO AND CHANGE YOUR NAME   WHAT IF I LOVED ALL THESEWHAT IFS AWAY   WHAT IF THE SKY FALLS(SKY FALLS) OR THE SUNSTOPS BURNIN'   WE COULD WORRY ABOUT THEMWHAT IFS 'TIL THE WORLDSTOPS TURNIN'   OR I COULD KISS YOU (YOUSHOULD KISS ME), WHAT IF YOULIKED IT (BET I'D LIKE IT)   WELL WE AIN'T NEVER GONNA KNOWUNLESS WE TRY IT   WHAT IF I WAS MADE FOR YOU ANDYOU WERE MADE FOR ME   WHAT IF THIS IS IT, WHAT IFIT'S MEANT TO BE   WHAT IF I AIN'T ONE OF THEMFOOLS JUST PLAYIN' SOME GAME   WHAT IF I JUST PULLED YOUCLOSE, WHAT IF I LEANED IN   AND THE STARS LINE UP AND IT'SOUR LAST FIRST KISS   WHAT IF ONE OF THESE DAYS BABYI'D GO AND CHANGE YOUR NAME   WHAT IF I LOVED ALL THESEWHAT IFS AWAY   AWE YEAH   C'MON   YOU SAY WHAT IF I HURT YOU,WHAT IF I LEAVE YOU   WHAT IF I FIND SOMEBODY ELSEAND I DON'T NEED YOU   DAMN   WHAT IF I WAS MADE FOR YOU ANDYOU WERE MADE FOR ME   WHAT IF THIS IS IT, WHAT IFIT'S MEANT TO BE   WHAT IF I AIN'T ONE OF THEMFOOLS JUST PLAYIN' SOME GAME   WHAT IF I JUST PULLED YOUCLOSE, WHAT IF I LEANED IN   AND THE STARS LINE UP AND IT'SOUR LAST FIRST KISS   WHAT IF ONE OF THESE DAYS BABYI'D GO AND CHANGE YOUR NAME   WHAT IF I LOVED ALL THESEWHAT IFS AWAY   AWAY (AWAY)   WHAT IF? "
Keith Urban - Blue Ain't Your Color (Official Music Video)," I CAN SEE YOU OVER THERE   STARRING AT YOUR DRINK   WATCHIN' THAT ICE SINK   ALL ALONE TONIGHT   AND CHANCES ARE   YOU'RE SITTIN'HERE IN THIS BAR   'CAUSE HE AIN'TGONNA TREAT YOU RIGHT   WELL, IT'SPROBABLY NOT MY PLACE   BUT I'M GONNA SAY IT ANYWAY   'CAUSE YOU LOOK LIKE   YOU HAVEN'T FELT THE FIRE   HAD A LITTLE FUN   HADN'T HAD A SMILEIN A LITTLE WHILE BABY   BLUE LOOKS GOOD ON THE SKY   LOOKS GOOD ON THATNEON BUZZIN' ON THE WALL   BUT DARLING, ITDON'T MATCH YOUR EYES   I'M TELLIN' YOU   YOU DON'T NEED THAT GUY   IT'S SO BLACK AND WHITE   HE'S STEALIN' YOUR THUNDER   BABY, BLUE AIN'T YOUR COLOR   I'M NOT TRYNA   BE ANOTHER JUST   PICK YOU UP   KINDA GUY TRYNA DRINK YOU UP   TRYNA TAKE YOU HOME   BUT I JUST DON'T UNDERSTAND   HOW ANOTHER MAN   CAN TAKE YOUR SUN   AND TURN IT ICE COLD   WELL, I'VE HADENOUGH TO DRINK   AND IT'S MAKIN'   ME THINK THAT I JUST MIGHT   TELL YOU IF I WERE APAINTER I WOULDN'T CHANGE YA   I'D JUST PAINTYOU BRIGHT BABY   BLUE LOOKS GOOD ON THE SKY   LOOKS GOOD ON THATNEON BUZZIN' ON THE WALL   BUT DARLING, ITDON'T MATCH YOUR EYES   I'M TELLIN' YOU   YOU DON'T NEED THAT GUY   IT'S SO BLACK AND WHITE   HE'S STEALIN' YOUR THUNDER   BABY, BLUE AIN'T YOUR COLOR   AIN'T YOUR COLOR BABY   BLUE LOOKS GOOD ON THE SKY   LOOKS GOOD ON THATNEON BUZZIN' ON THE WALL   BUT DARLING, ITDON'T MATCH YOUR EYES   I'M TELLIN' YOU   YOU DON'T NEED THAT GUY   IT'S SO BLACK AND WHITE   HE'S STEALIN' YOUR THUNDER   BABY, BLUE AIN'T YOUR COLOR   BLUE AIN'T YOUR COLOR   NO NO BABY   COME HERE BABY   LET ME LIGHT UP YOUR WORLD "
Keith Urban - The Fighter ft. Carrie Underwood (Official Music Video)," I know he hurt you   Made you scared of love   Too scared to love   He didn't deserve you   'Cause yourprecious heart   Is a precious heart   He didn't knowwhat he had   And I thank God   Oh, oh, oh, oh   And it's gonna takejust a little time   But you're gonna see thatI was born to love you   What if I fall?   I won't let you fall   What if I cry?   I'll never make you cry   And if I get scared?   I'll hold you tighter   When they're tryin'to get to you   Baby, I'll be the fighter   What if I fall?   I won't let you fall   What if I cry?   I'll never make you cry   And if I get scared?   I'll hold you tighter   When they're tryin'to get to you   Baby, I'll be the fighter   Look in the mirror   You're beautiful,so beautiful   I'm here to remind you   You're my only one   Let me be the one   To heal all the pain thathe put you through   With love likeyou never knew   Just let me show you   What if I fall?   I won't let you fall   What if I cry?   I'll never make you cry   And if I get scared?   I'll hold you tighter   When they're tryin'to get to you   Baby, I'll be the fighter   What if I fall?   I won't let you fall   What if I cry?   I'll never make you cry   And if I get scared?   I'll hold you tighter   When they're tryin'to get to you   Baby, I'll be the fighter   I wanna believe that yougot me baby   I swear, I do from now intothe next life   I wanna love, wanna giveyou all my heart   What if I fall?   I won't let you fall   What if I cry?   I'll never make you cry   And if I get scared?   I'll hold you tighter   When they're tryin'to get to you   Baby, I'll be the fighter   What if I fall?   I won't let you fall   What if I cry?   I'll never make you cry   And if I get scared?   I'll hold you tighter   When they're tryin'to get to you   Baby, I'll be the fighter   What if I fall?   What if I cry?   And if I get scared? "
Kenny Chesney - There Goes My Life (Official Video),"(gentle music)  All he could think about   Was I'm too young for this   Got my whole life ahead   Hell, I'm just a kid myself   How I'm I gonna raise one   All he could see were his dreams   Goin' up in smoke   So much for ditchin' this town   And hangin' out on the coast   Oh, well   Those plans are long gone   And he said, there goes my life   There goes my future   And my everything   Might as well kiss it all goodbye   There goes my life   A couple years of up all night   And a few thousand diapers later   That mistake he thought he made   Covers up the refrigerator   Oh, yeah   He loves that little girl   Mamma's waitin' to tuck her in   As she fumbles up those stairs   She smiles back at him   Draggin' that teddy bear   Sleep tight   Blue eyes and bouncin' curls   He smiles   There goes my life   There goes my future   My everything   I love you   Daddy, good night   There goes my life   She had that Honda loaded down   With Abercrombie clothes   And fifteen pairs of shoes   And his American Express   He checked the oil, slammed the hood   Said, you're good to go   She hugged 'em both   And headed off to the West Coast   And he cried   There goes my life   There goes my future   My everything   I love you   Baby, goodbye   There goes my life   There goes my life   Baby, goodbye   Baby, goodbye   There goes my life "
Kid Rock - All Summer Long [Official Music Video],it was 1989 my thoughts were short my hair was long caught somewhere between april and man she was 17 and she was far from in between it was summertime in northern michigan splashing through the sandbar talking the way the moonlight shined upon her not thinking about tomorrow singing sweet home alabama all summer long singing sweet home alabama all summer night to come to hit that sand and place some rock and roll while we were trying different things and we were smoking funny things sipping whiskey out the bar not thinking about tomorrow singing sweet home alabama all summer long singing sweet home in alabama uh now nothing seems as strange as when leaves began to change or how we thought those days would never end sometimes i hear that song then i'll start to sing along and think man i'd love to see that girl again not thinking alabama all summer long singing sweet home alabama you
Kid Rock - Picture feat. Sheryl Crow [Official Music Video], living my life in a slow health different girl every night at the hotel i ain't seen the sunshine in three damn days  fueling up on cocaine and whiskey wish i had a good girl to miss me i thought i'd wonder if i'll ever change my ways i put your picture away sat down and cried today i can't look at you while i'm lying next to her  i put your picture away  sat down and cried today i can't look at you i'm lying next to her i called you last night in the hotel everyone knows but they won't tell but there's   i put your picture away  i wonder where you've been  i wonder where you've been  i can't look at you while i'm lying next to him  uh  [Applause] i saw you yesterday with an old friend it was the same old same my wife you been since you've been gone my world's been dark and gray you reminded i hoped me were coming home i was head of the church i was off to drink you  away i thought about you for a long time can't seem to get you off my mind i can't understand why we're busy  i found your picture today i swear i'll change my ways i just can't say i want you to come back home i found your picture today  i want you to come back home  i just can't say i love you come back home you
Kid Rock - Redneck Paradise feat. Hank Williams Jr. [Remix] [Official Music Video], I don't look for greener grass or homegrown suits me just fine we welcome to my shanty by anytime I bet you like  people filled eyes  take beer and no one's uptight get ready a little tipsy I might be before some Jim be whisk it and I'll show you a real big time you don't need reservations by anytime the sun is shining red guys  and like don't they  Wow  with   Oh free and clear get down  [Applause]  [Applause]  [Applause]  when you're here  through to red  guys  Oh  [Applause] so time  never die  you 
LANCO - Greatest Love Story," THEY SAID I WAS NOTHING BUTA TROUBLE MAKER, NEVER UP TONO GOOD   YOU WERE THE PERFECTALL-AMERICAN GIRL, WOULDN'TTOUCH ME EVEN IF YOU COULD   BUT YOU WERE SNEAKING OUT YOURWINDOW EVERY NIGHT, RIDINGSHOTGUN IN MY CAR   WE'D GO TO THE RIVER AND FINDUS A SPOT AND WE PROBABLY WENTA LITTLE TOO FAR   JUST A LITTLE TOO FAR   'CAUSE I WAS GONNA BE YOURFOREVER AND YOU WERE GONNA BEMY WIFE   WE DIDN'T KNOW ANY BETTER,DIDN'T HAVE A CLUE ABOUT LIFE   BUT I WAS WHAT YOU WANTED, YOUWERE WHAT I NEEDED, AND WECOULD MEET IN BETWEEN   WE WERE GONNA BE THEGREATEST LOVE STORY THIS TOWNHAD EVER SEEN   SO YOU WENT OFF TO COLLEGEAND I GOT A JOB, I WAS WORKINGAT A 9 TO 5   DREAMING OF THE DAYS WHEN YOUWERE IN MY ARMS, I'D NEVERFELT SO ALIVE   I'D SPEND MY DAYS WORKING,SPEND MY NIGHTS DRINKING,HOWLING AT THE MOON   SCREAMING FOR THE DAYS WHENYOU WERE COMING BACK, NO ITCOULDN'T COME TOO SOON   COULDN'T COME TOO SOON   WHEN I WAS GONNA BE YOURFOREVER AND YOU WERE GONNA BEMY WIFE   BUT YOU WENT OFF TO FINDBETTER AND I WAS LEARNING ALLABOUT LIFE   WELL I WAS WHAT YOU WANTED,YOU WERE WHAT I NEEDED AND WECOULD MEET IN BETWEEN   WE WERE GONNA BE THEGREATEST LOVE STORY THIS TOWNHAD EVER SEEN   SO YOU CAME BACK AFTER A LONGFOUR YEARS, YOUR COLLEGEBOYFRIEND DIDN'T WORK OUT   SO WE WENT OUT FOR A COUPLEOF DRINKS TO FIND OUT WHO WEARE NOW   SURE WE CHANGED BUT WAY DEEPDOWN YOU HAD THE SAME OLDFEELINGS FOR ME   I WENT TO THE STORE AND BOUGHTYOU A RING AND I GOT DOWN ONONE KNEE, DOWN ON ONE KNEE   AND I SAID, I'M GONNA BE YOURFOREVER, SO BABY WILL YOU BEMY WIFE   AND NOW THAT WE KNOW A LITTLEBETTER, WE COULD HAVE A REALNICE LIFE   'CAUSE I'M WHAT YOU WANTED,YOU'RE WHAT I NEED, SO LET'SMEET IN BETWEEN   WE'RE GONNA BE THEGREATEST LOVE STORY THISTOWN HAS EVER SEEN   WE'RE GONNA BE THE GREATESTLOVE STORY THIS WORLD HASEVER SEEN   SO BABY SAY YES TO ME "
Lee Ann Womack - I Hope You Dance (Official Music Video),"(""I HOPE YOU DANCE"")  I HOPE YOU NEVER LOSEYOUR SENSE OF WONDER   YOU GET YOUR FILL TO EATBUT ALWAYS KEEP THAT HUNGER   MAY YOU NEVER TAKE ONESINGLE BREATH FOR GRANTED   GOD FORBID LOVE EVERLEAVE YOU EMPTY-HANDED   I HOPE YOU STILL FEEL SMALL   WHEN YOU STANDBESIDE THE OCEAN   WHENEVER ONE DOOR CLOSES,I HOPE ONE MORE OPENS   PROMISE ME THAT YOU'LL GIVEFAITH A FIGHTING CHANCE   AND WHEN YOU GET THE CHOICETO SIT IT OUT OR DANCE   I HOPE YOU DANCE   I HOPE YOU DANCE   I HOPE YOU NEVER FEAR THOSEMOUNTAINS IN THE DISTANCE   NEVER SETTLE FOR THEPATH OF LEAST RESISTANCE   LIVIN' MIGHT MEANTAKIN' CHANCES BUTTHEY'RE WORTH TAKIN'   LOVIN' MIGHT BE A MISTAKE,BUT IT'S WORTH MAKIN'   DON'T LET SOME HELL-BENTHEART LEAVE YOU BITTER   WHEN YOU COME CLOSE TOSELLIN' OUT, RECONSIDER   GIVE THE HEAVENS ABOVE MORETHAN JUST A PASSING GLANCE   AND WHEN YOU GET THE CHOICETO SIT IT OUT OR DANCE   I HOPE YOU DANCE   (TIME IS A WHEELIN CONSTANT MOTION)   I HOPE YOU DANCE   (ALWAYS ROLLING US ALONG)   I HOPE YOU DANCE   (TELL ME WHO WANTS TO LOOKBACK ON THEIR YEARSAND WONDER)   I HOPE YOU DANCE   (WHERE THOSE YEARSHAVE GONE)   I HOPE YOU STILL FEEL SMALL   WHEN YOU STANDBESIDE THE OCEAN   WHENEVER ONE DOOR CLOSES,I HOPE ONE MORE OPENS   PROMISE ME THAT YOU'LL GIVEFAITH A FIGHTING CHANCE   AND WHEN YOU GET THE CHOICETO SIT IT OUT OR DANCE   DANCE   I HOPE YOU DANCE   I HOPE YOU DANCE   (TIME IS A WHEELIN CONSTANT MOTION)   I HOPE YOU DANCE   (ALWAYS ROLLING US ALONG)   I HOPE YOU DANCE   (TELL ME WHO WANTS TO LOOKBACK ON THEIR YEARSAND WONDER)   I HOPE YOU DANCE   (WHERE THOSE YEARSHAVE GONE)   TELL ME WHO WANTS TO LOOKBACK ON THEIR YEARS AND WONDER   (WHERE THOSE YEARSHAVE GONE)  "
Lee Brice - Hard To Love (Official Music Video),"(acoustic guitar with campfire crackling) - CMT Campfire Sessions.Man, this is so cool to be able to do. Here at the farm, around the fire. In fact, right back behind me we recorded the video for this, this song. So thought'd be kindacool to start out with it. So we'll give this one a shot.  Red leaves on the river   Footprints in the sand   Cold walk in December,warming up your hands   Sun dress on the front steps   Sun up by the lake   Blanket down in the backyard   Lyin' wide awake   Yeah, that's a memoryI don't mess with   The girl I was the best with   The one I was obsessed with   Girl, you just don't get it   I'd fall right back with one slip   Always leave me helpless   Don't hate me, I can't help it   Gotta leave us where we left it   Your memory I don't mess with   Moonlight on the back seat   Breeze through the wires   Springsteen on my speakers   Girl, I'm on fire   And that stuff I don't think about   'Cause it still kills me now   I still can't dance around   That memory I don't mess with   The girl I was the best with   The one I was obsessed with   Girl, you just don't get it   I'd fall right back with one slip   Always leave me helpless   Don't hate me I can't help it   Gotta leave us where we left it   Your memory I don't mess with   It's good running into you like this   Girl, I'm close as I can get   It's your memory I don't mess with   The girl I was the best with   The one I was obsessed with   Girl, You just don't get it   I'd fall right back with one slip   Always leave me helpless   Don't hate me I can't help it   Gotta leave us where we left it   Your memory I don't mess with   Oooh  - Yeah. Oh man, some of my favoritememories are sitting around a fire playing songs, you know by all my favorite artists growing up. Willie Nelson, Hank Jr. Garth Brooks, Vince Gill. So this is really cool. What a cool thing to be a part of. So uh, let's see here. So we've been home for awhile, not on the road as much. And so this next songwas one of the first kind of big songs we had in our career. And uh, and it still means the same thing, just it's got a littledifferent approach to it. I think my wife is probably like: ""Hey so when are you gettingback on the road again?"" Cause I'd been home every day,all the time, up in her hair. She's probably like: ""All right, get back on that road and start playing some more music."" So here's the one that y'all might know. Thank y'all again for hangin'. It's called 'Hard to Love'.  Do do do do do   Do do do do do, yeah   I am insensitive   I have a tendency topay more attention   to the things that I need.   Sometimes I drink too much   Sometimes I test your trust   Sometimes I don't knowwhy you stay with me   I'm hard to love, hard to love   Oh, I don't make it easy   I couldn't do it if Istood where you stood   I'm hard to love, hard to love   You say that you need me   Well, I don't deserve it   But I love that you love me good, yeah   Yeah, you love me good   Yes, she does   Well, I am a short fuse   I am a wrecking ball   Crashing into your heart like I do   But you're like a Sunday morning   Full of grace and full of Jesus   And I wish that Icould be more like you   I'm hard to love, hard to love,   Oh I don't make it easy   I couldn't do it if Istood where you stood   I'm hard to love, hard to love   You say that you need me   Well, I don't deserve it   But I love that you love me good   Yeah you love me good, baby   'Cause girl you've givenme a million second chances   And I don't ever wannatake you for granted   I'm just a man   I'm just a man   Hard to love, hard to love   Oh, I don't make it easy   I couldn't do it if Istood where you stood   I'm hard to love, hard to love   You say that you need me   Well, I don't deserve it   But I love that you love me   I don't make it easy   I couldn't do it if Istood where you stood   I'm hard to love, hard to love   You say that you need me   Well, I don't deserve it   But I love that you love me good, baby   Yeah you love me good   Yeah you love me good, baby   Yeah you love me good, yeah  - 0h yeah Man! The quiet. You know, it's been kindaweird singing to cameras instead of to livepeople through this time. It's been, you know, youhad something to get used to but this is kind of adifferent kind of quiet. This is kind of the quietthat I was used to, you know? And so again, thank y'all, CMT for having me out here inCamp Fire Sessions sessions. This is a great ideaand I'm having a ball. Wish I could do this all night, you know? (acoustic guitar) Now, let's decide whatelse I'm gonna play. I guess we gotta to do this one. (laughs) (acoustic guitar)  Are you one of them girls   That peels off the Bud Light label?   Just might run a pool table?   Roll your eyes if I call you an angel   Ain't you one of them girls?   Ask you to dance, you say ""no""   Just to see how far I'll go   Your song comes on and your eyes close   That's when I know, yeah   You got your heart on lock down   You got a wall I gotta knock down   Kinda wanna do a shot now   One of them girls thatain't tryna meet nobody   You're just here for the party   If I'm wrong, then stop me   You're one of them girls   That ain't handin' out your number   You like to make us want you   You like to make us wonder   If you're one of them girls   'Cause I'm one of them boys   Trade his whole world, his whole world   For one of them girls   Who likes to act all quiet   Sexy, not even tryin'   Yeah, you know I ain't lyin'   Damn right, you one of them girls   Broke every heart in your hometown   On the day you rode out   Got 'em all wishin' on stars now   Have I found one of them girls   That ain't tryna meet nobody   You're just here for the party   If I'm wrong, then stop me   You're one of them girls   That ain't handin' out your number   You like to make us want you   You like to make us wonder   If you one of them girls   'Cause I'm one of them boys   That trade his wholeworld, his whole world   For one of them girls, yeah   You're one of them girls, yeah   You're one of them girls   I wanna lay my lips on   Hold all night long   Write a little love song   For one of them girls thatain't tryna meet nobody   You're just here for the party   If I'm wrong then stop me, yeah   You're one of them girls   That ain't handin' out your number   You like to make us want you   You like to make us wonder   If you one of them girls   'Cause I'm one of them boys   Would trade his wholeworld, his whole world   For one of them girls   For one of them girls, yeah  - Ah. Thank y'all so much for hanging out with me andCMT, The Campfire Sessions. See you next time."
Lee Brice - One of Them Girls (Official Music Video), are you wanna never peel off the butter line label just might run the pool table roll your eyes if I call you an angel ain't you one of their firms I ask you to dance you say no just see how far I'll go he sound comes on and your eyes closed that's when I know yeah you got your heart on lockdown got a wall I got a knockdown kind of wanna do a shot now come on now you wanna try to me know cheers for the farm if I'm wrong and stuff and you wanted him number you like to make us warm you like to make us warm if you want em girls cuz I'm wanting more so trade is over one of the girls who like that don't cry 69 even try do you know why they're right she wanted him broke every heart in your hometown all the day  I'm always you know stars man nobody all that stuff you like to make us watch bankers warned if you are who trade his own so hold on no song for one of them girls there ain't tryna mean nobody you're just here for the party if I'm wrong and stop me like tomatoes you like to make just one  straizo girl morning girl 
Lee Brice - Rumor, two  and girl you know i've known you forever how many nights we hung out together same little crowd little bar little town around this old dance floor my boys are laughing and tapping me on the shoulder making emotion like a jogging any closer they want to know what's up while i'm still holding you even when the song is over there's a rumor going round about me and you stirring up our little town the last week or two so tell me why we even trying to deny this feeling i feel it don't you feel it too there's a rumor going  we make it true  i can do whatever you want me to do baby or you could lay one on me right now we could really give them something to talk about there's a rumor going round about me and you stirring up my little town the last week or two so tell me why i'm even trying to deny this feeling i feel it don't you feel it too there's a rumor going round and and round   should we keep them talking should bring just me and there's a rumor going round about me and you stirring up a little town  let's really give them something to talk about today  foreign
Little Big Town - Pontoon,"(upbeat country music)  Now, back this hitch up into the water   Untie all the cables and rope   Step onto the Astroturf   Get yourself a koozie, let's go   Who said anything about skiing   Floating is all I wanna do   You can climb the ladder   Just don't rock theboat while I barbecue   On the pontoon   Making waves and catchingrays up on the roof   Jumping off the back, don'tact like you don't want to   Party in slow motion   Out here in the open   Mm, motorboating   Ooh   Reach your hand down into the cooler   Don't drink it if themountains aren't blue   Try to keep it steady   As you recline onyour black inner tube   Pontoon   Making waves and catchingrays up on the roof   Jumping off the back, don'tact like you don't want to   Party in slow motion   Out here in the open   Mm, motorboating   Ooh  (upbeat country music)  Ooh   Five mile an hour, aluminum sides   Wood paneling with a water slide   Can't beat the heat,so let's take a ride   On the pontoon   Making waves and catchingrays up on the roof   Jumping off the back, don'tact like you don't want to   Party in slow motion   I'm out here in the open   Mm, motorboating   On the pontoon   Ooh   On the pontoon   Ooh   Back this hitch out into the water   On the pontoon   Ooh   Ooh "
Lonestar - Amazed (Official Music Video),"(light music)  Every time our eyes meet   This feeling inside me   Is almost more than I can take   Baby, when you touch me   I can feel how much you love me   And it just blows me away   I've never been this closeto anyone or anything   I can hear your thoughts,I can see your dreams   I don't know how you do what you do   I'm so in love with you   It just keeps getting better   I wanna spend the rest of my life   With you by my side   Forever and ever   Every little thing that you do   Baby, I'm amazed by you   The smell of your skin   The taste of your kiss   The way you whisper in the dark   Your hair all around me   Baby, you surround me   You touch every place in my heart   Oh, it feels like thefirst time every time   I wanna spend the wholenight in your eyes   I don't know how you do what you do   I'm so in love with you   It just keeps getting better   I wanna spend the rest of my life   With you by my side   Forever and ever   Every little thing that you do   Baby, I'm amazed by you   Every little thing that you do   I'm so in love with you   It just keeps getting better   I wanna spend the rest of my life   With you by my side   Forever and ever   Every little thing that you do   Oh   Every little thing that you do   Baby, I'm amazed by you "
